name,prefix,Generation,Species,Gender,Start Date,library,sorted.bam
Nasuta_N701-S501,Nasuta_N701-S501_S10_L002,9,X1,F,43418,new,Nasuta_N701-S501_S10_L002.sorted.bam
Nasuta_N701-S502,Nasuta_N701-S502_S34_L002,9,X1,F,43418,new,Nasuta_N701-S502_S34_L002.sorted.bam
Nasuta_N702-S501,Nasuta_N702-S501_S11_L002,9,X1,F,43418,new,Nasuta_N702-S501_S11_L002.sorted.bam
Nasuta_N702-S502,Nasuta_N702-S502_S35_L002,9,X1,F,43418,new,Nasuta_N702-S502_S35_L002.sorted.bam
Nasuta_N703-S501,Nasuta_N703-S501_S12_L002,9,X1,F,43418,new,Nasuta_N703-S501_S12_L002.sorted.bam
Nasuta_N703-S502,Nasuta_N703-S502_S36_L002,9,X1,F,43418,new,Nasuta_N703-S502_S36_L002.sorted.bam
Nasuta_N704-S501,Nasuta_N704-S501_S13_L002,9,X1,F,43418,new,Nasuta_N704-S501_S13_L002.sorted.bam
Nasuta_N704-S502,Nasuta_N704-S502_S37_L002,9,X1,F,43418,new,Nasuta_N704-S502_S37_L002.sorted.bam
Nasuta_N705-S501,Nasuta_N705-S501_S14_L002,9,X1,F,43418,new,Nasuta_N705-S501_S14_L002.sorted.bam
Nasuta_N705-S502,Nasuta_N705-S502_S38_L002,9,X1,F,43418,new,Nasuta_N705-S502_S38_L002.sorted.bam
Nasuta_N706-S501,Nasuta_N706-S501_S15_L002,9,X1,F,43418,new,Nasuta_N706-S501_S15_L002.sorted.bam
Nasuta_N706-S502,Nasuta_N706-S502_S39_L002,9,X1,F,43418,new,Nasuta_N706-S502_S39_L002.sorted.bam
Nasuta_N707-S501,Nasuta_N707-S501_S16_L002,9,X1,F,43418,new,Nasuta_N707-S501_S16_L002.sorted.bam
Nasuta_N707-S502,Nasuta_N707-S502_S40_L002,9,X1,F,43418,new,Nasuta_N707-S502_S40_L002.sorted.bam
Nasuta_N708-S501,Nasuta_N708-S501_S17_L002,9,X1,F,43418,new,Nasuta_N708-S501_S17_L002.sorted.bam
Nasuta_N708-S502,Nasuta_N708-S502_S41_L002,9,X1,F,43418,new,Nasuta_N708-S502_S41_L002.sorted.bam
Nasuta_N709-S501,Nasuta_N709-S501_S18_L002,9,X1,F,43418,new,Nasuta_N709-S501_S18_L002.sorted.bam
Nasuta_N710-S501,Nasuta_N710-S501_S19_L002,9,X1,F,43418,new,Nasuta_N710-S501_S19_L002.sorted.bam
Nasuta_N711-S501,Nasuta_N711-S501_S20_L002,9,X1,F,43418,new,Nasuta_N711-S501_S20_L002.sorted.bam
Nasuta_N712-S501,Nasuta_N712-S501_S21_L002,9,X1,F,43418,new,Nasuta_N712-S501_S21_L002.sorted.bam
Nasuta_N701-S504,Nasuta_N701-S504_S58_L002,10,X1,F,43418,new,Nasuta_N701-S504_S58_L002.sorted.bam
