"","nnn","name","HI","het","rec","info.sites","generation","sex","mode","mode.freq","s0","s0.25","s0.5","s0.75","s1","l0","l0.25","l0.5","l0.75","l1","recomb.mullera","recomb.mullerb","recomb.mullercd","recomb.mullere","names","name.1","prefix","Generation","Species","Gender","Start.Date","library","sorted.bam","X","id","ma.fr","mb.fr","mdc.fr","me.fr","mf.fr","total.mreads","sex.auto.fr","sex.g","HI.1","het.1","hi.a","hi.dc","hi.e","hi.b","hi.f","het.a","het.dc","het.e","het.b","het.f"
"225","M.NA.albomicans.DBMN01_142_S142_L005_R1_001","DBMN01_142",0,0,1,155018,NA,"M",0.75,155018,1,0,0,0,0,55183021,0,0,0,0,1,1,1,1,"DBMN01_142_S142_L005_R1_001","DBMN01_142","DBMN01_142_S142_L005_R1_001",NA,"albomicans","male","42229","old","DBMN01_142_S142_L005_R1_001.sorted.bam",1,"DBMN01_142_S142_L005_R1_001",0.000163915148003484,0.000298187762607103,0.000282216183891646,0.000297678857140014,0.000313706392717889,41259,0.560021722293918,"M",0,0,0,0,0,0,0,0,0,0,0,0
"226","F.NA.albomicans.DBMN01_192_S192_L005_R1_001","DBMN01_192",1.87417185031364e-06,0,1,159848,NA,"F",1,159848,1,0,0,0,0,55183021,0,0,0,0,1,1,1,1,"DBMN01_192_S192_L005_R1_001","DBMN01_192","DBMN01_192_S192_L005_R1_001",NA,"albomicans","female","42229","old","DBMN01_192_S192_L005_R1_001.sorted.bam",2,"DBMN01_192_S192_L005_R1_001",0.000402623903946985,0.000438548640676405,0.000424536202790471,0.000444710050840621,0.000483764888975636,66856,0.923594148515579,"F",1.87417185031364e-06,0,0,0,0,0,0,0,0,0,0,0
"227","F.NA.nasuta.DBMN01_375_S375_L005_R1_001","DBMN01_375",0.997805079004018,0.00438984199196353,3,155287,NA,"F",0,155287,0,0,1,0,2,0,0,1224246,0,53876291,1,1,3,1,"DBMN01_375_S375_L005_R1_001","DBMN01_375","DBMN01_375_S375_L005_R1_001",NA,"nasuta","female","42229","old","DBMN01_375_S375_L005_R1_001.sorted.bam",3,"DBMN01_375_S375_L005_R1_001",0.00247419658073061,0.00236645402858502,0.00238950391669467,0.0025089331142312,0.00225585171929784,379482,1.02170695766656,"F",0.997805079004018,0.00438984199196353,1,0.993329873270444,1,1,1,0,0.0133402534591123,0,0,0
"228","M.NA.nasuta.DBMN01_376_S376_L005_R1_001","DBMN01_376",NA,NA,1,0,NA,"M",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DBMN01_376_S376_L005_R1_001","DBMN01_376","DBMN01_376_S376_L005_R1_001",NA,"nasuta","male","42229","old","DBMN01_376_S376_L005_R1_001.sorted.bam",4,"DBMN01_376_S376_L005_R1_001",2.40300748401662e-06,3.32233818694246e-06,3.14739238540869e-06,4.07937786536514e-06,3.22080485336642e-06,505,0.683377414746767,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","M.27.A1.DBMN02B_N701_S501_S431_L004_R1_001","DBMN02B_N701_S501",0.442109145311077,0.755395068853935,2,25032,27,"M",0.25,19516,1,0,1,0,0,1472910,0,53513932,0,0,4,5,2,3,"DBMN02B_N701_S501_S431_L004_R1_001","DBMN02B_N701_S501","DBMN02B_N701_S501_S431_L004_R1_001",27,"A1","male","7-9-2014","old","DBMN02B_N701_S501_S431_L004_R1_001.sorted.bam",5,"DBMN02B_N701_S501_S431_L004_R1_001",0.000279619958358884,0.000486864930309369,0.000416939048756726,0.000422519392523351,0.000744005921127642,63505,0.632470099709828,"M",0.442109145311077,0.755395068853935,0.302913566229395,0.486658555219151,0.48952001582563,0.44851247549361,NA,0,0.973317110438301,0.979040031651261,0.87489152909163,NA
"145","F.27.A1.DBMN02B_N701_S502_S455_L004_R1_001","DBMN02B_N701_S502",0.300925803764282,0.350486084671841,5,159487,27,"F",1,151033,3,0,2,0,0,52385356,0,2680738,0,0,10,8,5,4,"DBMN02B_N701_S502_S455_L004_R1_001","DBMN02B_N701_S502","DBMN02B_N701_S502_S455_L004_R1_001",27,"A1","female","7-9-2014","old","DBMN02B_N701_S502_S455_L004_R1_001.sorted.bam",6,"DBMN02B_N701_S502_S455_L004_R1_001",0.00217144767533807,0.0021502805572213,0.00225944787502175,0.00236167046646731,0.00315574459532842,351688,0.962037995908776,"F",0.300925803764282,0.350486084671841,0.352906064533734,0.0203590885457875,0.462478366504693,0.525459607054868,0,0.398662937444573,0.0407181770915749,0.503686014777341,0.635436215346028,0
"146","F.27.A1.DBMN02B_N701_S503_S479_L004_R1_001","DBMN02B_N701_S503",0.302070518912385,0.452857506554182,6,155912,27,"F",1,133799,3,0,3,0,0,47368713,0,7319145,0,0,10,8,6,5,"DBMN02B_N701_S503_S479_L004_R1_001","DBMN02B_N701_S503","DBMN02B_N701_S503_S479_L004_R1_001",27,"A1","female","7-9-2014","old","DBMN02B_N701_S503_S479_L004_R1_001.sorted.bam",7,"DBMN02B_N701_S503_S479_L004_R1_001",0.000768541868575616,0.000739109501988467,0.00074012559904464,0.000765997222435514,0.00109636197208593,118040,1.02689845573082,"F",0.302070518912385,0.452857506554182,0.257756690478729,0.0596942829540453,0.475080621518616,0.565907253004657,0,0.335714539574226,0.119388565908091,0.907737941262697,0.642090293076044,0
"147","F.27.A1.DBMN02B_N701_S504_S503_L004_R1_001","DBMN02B_N701_S504",0.413511529757172,0.412735488409077,4,157861,27,"F",0.5,131509,1,0,2,0,1,6451643,0,47234185,0,885002,6,5,4,5,"DBMN02B_N701_S504_S503_L004_R1_001","DBMN02B_N701_S504","DBMN02B_N701_S504_S503_L004_R1_001",27,"A1","female","7-9-2014","old","DBMN02B_N701_S504_S503_L004_R1_001.sorted.bam",8,"DBMN02B_N701_S504_S503_L004_R1_001",0.000502048338598173,0.000446237480480472,0.00046738776923319,0.000479746409670104,0.000595848897872787,74163,1.08093558933201,"F",0.413511529757172,0.412735488409077,0.710587065536919,0.449352673219851,0.039608832807571,0.445869061832917,0.5,0.389201106692028,0.868405429781599,0.079217665615142,0.0590198632367307,1
"148","F.27.A1.DBMN02B_N702_S501_S432_L004_R1_001","DBMN02B_N702_S501",0.286851476662788,0.523662677005612,3,125093,27,"F",1,91503,1,0,2,0,0,46226046,0,6512707,0,0,6,1,3,4,"DBMN02B_N702_S501_S432_L004_R1_001","DBMN02B_N702_S501","DBMN02B_N702_S501_S432_L004_R1_001",27,"A1","female","7-9-2014","old","DBMN02B_N702_S501_S432_L004_R1_001.sorted.bam",9,"DBMN02B_N702_S501_S432_L004_R1_001",0.000289081800327199,0.000243479927128783,0.000286575503230057,0.000275864311675579,0.000119813940545231,42883,1.07609400260176,"F",0.286851476662788,0.523662677005612,0.389513581113695,0.0731540486250606,0.290488389839747,0.5,NA,0.576648821799991,0.146308097250121,0.580976779679494,1,NA
"149","F.27.A1.DBMN02B_N702_S503_S480_L004_R1_001","DBMN02B_N702_S503",0.434520109068092,0.864159334256692,3,131136,27,"F",0.5,111849,1,0,2,0,0,6914313,0,42892698,0,0,6,3,3,1,"DBMN02B_N702_S503_S480_L004_R1_001","DBMN02B_N702_S503","DBMN02B_N702_S503_S480_L004_R1_001",27,"A1","female","7-9-2014","old","DBMN02B_N702_S503_S480_L004_R1_001.sorted.bam",10,"DBMN02B_N702_S503_S480_L004_R1_001",0.000158538418757997,0.000152258012910163,0.00016248865401222,0.000176686245558758,0.000109507365014458,25350,0.967813193204152,"F",0.434520109068092,0.864159334256692,0.346527168818602,0.452489638176319,0.5,0.395093523918949,NA,0.64201263947265,0.904979276352638,1,0.790187047837898,NA
